1341596388	1	00003
1341596393	0	00250
1341596394	1	00003
1341596399	0	00252
1341596400	1	00002
1341596405	0	00257
1341596406	1	00003
1341596412	1	00003
1341596417	0	00253
1341596529	0	00263
1341596531	2	00000
1341596535	1	00003
1341596536	0	00261
1341596537	2	00000
1341596541	1	00002
1341596542	0	00264
1341596543	2	00000
1341596548	0	00259
1341596550	2	00000
1341596553	1	00003
1341596554	0	00263
1341596559	1	00002
1341596560	0	00263
1341596562	2	00000
1341596566	1	00003
1341596566	0	00262
1341596568	2	00000
1341596572	1	00003
1341596573	0	00259
1341596574	2	00000
1341596578	1	00002
1341596579	0	00258
1341596580	2	00000
1341596584	1	00002
1341596585	0	00261
1341596590	1	00002
1341596592	2	00000
1341596596	1	00003
1341596597	0	00261
1341596598	2	00000
1341596602	1	00002
1341596604	0	00274
1341596605	2	00000
1341596609	1	00002
1341596610	0	00265
1341596611	2	00000
1341596615	1	00003
1341596616	0	00258
1341596621	1	00003
1341596622	0	00263
1341596623	2	00000
1341596627	1	00002
1341596628	0	00265
1341596629	2	00000
1341596633	1	00003
1341596634	0	00266
1341596635	2	00000
1341596641	0	00259
1341596641	2	00000
1341596645	1	00002
1341596647	0	00262
1341596647	2	00000
1341596651	1	00002
1341596653	0	00259
1341596653	2	00000
1341596658	1	00002
1341596659	0	00262
1341596659	2	00000
1341596664	1	00003
1341596665	0	00261
1341596665	2	00000
1341596670	1	00003
1341596672	0	00261
1341596676	1	00002
1341596678	2	00000
1341596678	0	00263
1341596682	1	00003
1341596684	2	00000
1341596684	0	00262
1341596688	1	00002
1341596690	2	00000
1341596691	0	00272
1341596694	1	00002
1341596696	2	00000
1341596696	0	00263
1341596700	1	00003
1341596702	2	00000
1341596702	0	00264
1341596707	1	00002
1341596708	2	00000
1341596709	0	00258
1341596713	1	00003
1341596714	2	00000
1341596715	0	00261
1341596719	1	00002
1341596720	2	00000
1341596721	0	00259
1341596725	1	00002
1341596727	2	00000
1341596727	0	00262
1341596731	1	00002
1341596733	2	00000
1341596733	0	00259
1341596737	1	00003
1341596739	2	00000
1341596740	0	00258
1341596743	1	00003
1341596745	2	00000
1341596746	0	00261
1341596750	1	00002
1341596751	2	00000
1341596752	0	00257
1341596757	2	00000
1341596758	0	00259
1341596762	1	00003
1341596763	2	00000
1341596764	0	00262
1341596768	1	00003
1341596769	2	00000
1341596771	0	00262
1341596774	1	00002
1341596775	2	00000
1341596777	0	00259
1341596780	1	00003
1341596781	2	00000
1341596783	0	00259
1341596786	1	00003
1341596788	2	00000
1341596789	0	00259
1341596792	1	00002
1341596794	2	00000
1341596795	0	00262
1341596799	1	00002
1341596800	2	00000
1341596802	0	00261
1341596805	1	00003
1341596806	2	00000
1341596808	0	00264
1341596811	1	00003
1341596812	2	00000
1341596814	0	00261
1341596817	1	00003
1341596818	2	00000
1341596820	0	00264
1341596823	1	00003
1341596826	0	00262
1341596829	1	00003
1341596830	2	00000
1341596833	0	00259
1341596835	1	00003
1341596836	2	00000
1341596839	0	00259
1341596842	1	00002
1341596842	2	00000
1341596845	0	00261
1341596849	2	00000
1341596851	0	00259
1341596854	1	00003
1341596855	2	00000
1341596857	0	00262
1341596860	1	00003
1341596861	2	00000
1341596864	0	00269
1341596866	1	00003
